AI導線 フロント転換 詳細分析 (2026-03-01 〜 2026-04-05)
生成日時: 2026-04-05T05:42:00.469Z

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ 全CR一覧（消化¥3,000以上、消化額順）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
CR        | キャンペーン名                                       | AC          | キャンプ数 |     消化額 |  IMP    | クリック | CTR%   | CPC    | API_CV | CPA     | オプト | OTO | 3day | フロ計 | 転換率 | フロCPO
CR01122   | 260327/高橋海斗/ターミナル/LP1-CR01122                      | AI_1        |        1 | ¥   4,624 |   3,380 |     39 |  1.15% | ¥ 119 |      1 | ¥ 4,624 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01124   | 260327/高橋海斗/ターミナル/LP1-CR01124                      | AI_1        |        1 | ¥   4,580 |   4,446 |     30 |  0.67% | ¥ 153 |      1 | ¥ 4,580 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01110   | 260327/鈴木織大/庭動画_女性_冒頭1/LP1-CR01110                 | AI_1        |        1 | ¥   4,513 |   3,721 |     20 |  0.54% | ¥ 226 |      1 | ¥ 4,513 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00220   | 260306/AI/プロンプト（お絵描きムービー）/LP2-CR00220              | AI_1        |        1 | ¥   4,468 |   1,349 |      8 |  0.59% | ¥ 559 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01058   | 260316/千葉信輝/2026年度3月AI勝ちCR/LP1-CR01058             | AI_1        |        1 | ¥   4,449 |   1,953 |     12 |  0.61% | ¥ 371 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00209   | 260304/AI/AIに仕事奪われる/LP2-CR00209                    | AI_1        |        1 | ¥   4,445 |   1,105 |     14 |  1.27% | ¥ 318 |      1 | ¥ 4,445 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00215   | 260305/楢木野萌/プロンプト（お絵描きムービー）/LP2-CR00215            | AI_4        |        1 | ¥   4,429 |   2,879 |     17 |  0.59% | ¥ 261 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01125   | 260327/高橋海斗/ターミナル/LP1-CR01125                      | AI_1        |        1 | ¥   4,390 |   3,691 |     24 |  0.65% | ¥ 183 |      1 | ¥ 4,390 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01048   | 260313/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_3        |        1 | ¥   4,374 |   2,979 |     25 |  0.84% | ¥ 175 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01121   | 260327/高橋海斗/ターミナル/LP1-CR01121                      | AI_1        |        1 | ¥   4,373 |   2,898 |     15 |  0.52% | ¥ 292 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01081   | 260321/千葉信輝/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、    | AI_4        |        1 | ¥   4,332 |   2,080 |      9 |  0.43% | ¥ 481 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00992   | 260302/AI/メタメタ広告/LP1-CR00992                       | AI_1        |        1 | ¥   4,328 |   3,153 |     20 |  0.63% | ¥ 216 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01100   | 260324/鈴木織大/ClaudeCodeレベル/LP1-CR01100              | AI_3        |        1 | ¥   4,236 |   1,509 |     13 |  0.86% | ¥ 326 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01113   | 260327/鈴木織大/庭動画_男性_冒頭2/LP1-CR01113                 | AI_1        |        1 | ¥   4,235 |   4,595 |     19 |  0.41% | ¥ 223 |      1 | ¥ 4,235 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00231   | 260320/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00231               | AI_3        |        1 | ¥   4,232 |   8,090 |    296 |  3.66% | ¥  14 |      4 | ¥ 1,058 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01075   | 260319/AI/ClaudeCode解説/LP1-CR01075                 | AI_1        |        1 | ¥   4,205 |   2,007 |      9 |  0.45% | ¥ 467 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01107   | 260326/鈴木織大/ClaudeCode解説/LP1-CR01107               | AI_2        |        1 | ¥   4,204 |   1,681 |     23 |  1.37% | ¥ 183 |      1 | ¥ 4,204 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01052   | 260314/AI/一撃YouTube動画作成/LP1-CR01052                | AI_1        |        1 | ¥   4,161 |   1,846 |     20 |  1.08% | ¥ 208 |      1 | ¥ 4,161 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01111   | 260327/鈴木織大/庭動画_女性_冒頭2/LP1-CR01111                 | AI_1        |        1 | ¥   4,094 |   4,156 |     23 |  0.55% | ¥ 178 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01003   | 260304 AI スマ CPA安いスマプラ LP1-CR01003                 | AI_2        |        1 | ¥   4,056 |  11,243 |     44 |  0.39% | ¥  92 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01042   | 260311/AI/AIまとめ1/LP1-CR01042                       | AI_2        |        1 | ¥   3,939 |   4,741 |     15 |  0.32% | ¥ 263 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00219   | 260306/AI/プロンプト（お絵描きムービー）/LP2-CR00219              | AI_1        |        1 | ¥   3,884 |   1,225 |      8 |  0.65% | ¥ 486 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00229   | 260319/AI/AIに仕事奪われる/LP2-CR00229                    | AI_1        |        1 | ¥   3,780 |   1,449 |      9 |  0.62% | ¥ 420 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01104   | 260326/在中悠也/二極化_SORA2_冒頭1_中間2-2/LP1-CR01104        | AI_1        |        1 | ¥   3,776 |   1,174 |     11 |  0.94% | ¥ 343 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01039   | 260310/AI/AIまとめ/LP1-CR01039                        | AI_2        |        1 | ¥   3,737 |   2,528 |     13 |  0.51% | ¥ 287 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01005   | 260304/千葉信輝/スマプラ/著名人コピー違い/LP1-CR01005              | AI_2        |        1 | ¥   3,713 |   1,648 |     17 |  1.03% | ¥ 218 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01000   | 260304/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_2        |        1 | ¥   3,705 |   1,353 |      2 |  0.15% | ¥1,853 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00226   | 260312/AI/ClaudeCode解説バナー/LP2-CR00226              | AI_1        |        1 | ¥   3,547 |   2,215 |     23 |  1.04% | ¥ 154 |      2 | ¥ 1,774 |     2 |   0 |    0 |      0 |   0.0% |          -
CR01084   | 260321/千葉信輝/LP1勝ちCR/LP1-CR01084                    | AI_2        |        1 | ¥   3,078 |  11,110 |     55 |  0.50% | ¥  56 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01145   | 260404/石黒研太/AIこれ全部やめました中華街Ver/LP1-CR01145          | AI_1        |        1 | ¥   3,000 |   1,460 |     10 |  0.68% | ¥ 300 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ フロント転換率ランキング（オプト10件以上のCRのみ）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
CR        | キャンペーン名                                       | オプト | フロント | 転換率 | フロCPO     | CPA     | 消化額
----------------------------------------------------------------------------------------------------------------------------------
CR01053   | 260314/AI/一撃YouTube動画作成_途中CTAあり/LP1-CR01053        |    15 |      3 |  20.0% |     ¥19,200 | ¥ 3,032 | ¥  57,600
CR01008   | 260304/AI/尻込み_ちえみさん/LP1-CR01008                    |    12 |      2 |  16.7% |     ¥13,796 | ¥ 1,839 | ¥  27,591
CR01045   | 260312/AI/AI全部やめました渋谷Ver/LP1-CR01045               |    13 |      2 |  15.4% |     ¥19,111 | ¥ 3,185 | ¥  38,222
CR00004   | 260324/楢木野萌/お絵描きムービー（プロンプト）/LP6-CR00004            |    15 |      2 |  13.3% |     ¥26,030 | ¥ 4,005 | ¥  52,060
CR00224   | 260312/AI/ClaudeCode解説/LP2-CR00224                 |    15 |      2 |  13.3% |     ¥20,418 | ¥ 2,917 | ¥  40,835
CR00979   | 260228/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   |    24 |      3 |  12.5% |     ¥16,224 | ¥ 2,562 | ¥  48,672
CR00223   | 260311/AI/ClaudeCode解説/LP2-CR00223                 |    68 |      8 |  11.8% |     ¥21,098 | ¥ 3,376 | ¥ 168,780
CR00210   | 260304/AI/AIに仕事奪われる/LP2-CR00210                    |    18 |      2 |  11.1% |     ¥27,373 | ¥ 5,475 | ¥  54,745
CR01074   | 260319/AI/2026年3月度勝ちCR/LP1-CR01074                 |    29 |      3 |  10.3% |     ¥39,694 | ¥ 5,177 | ¥ 119,081
CR01060   | 260316/鈴木織大/ClaudeCodeレベル（CTAなし）/LP1-CR01060       |    20 |      2 |  10.0% |     ¥28,571 | ¥ 3,175 | ¥  57,142
CR01134   | 260329/千葉信輝/過去の当たりCR/LP1-CR01134                   |    20 |      2 |  10.0% |     ¥15,256 | ¥ 1,795 | ¥  30,511
CR01128   | 260327/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01128      |    32 |      3 |   9.4% |     ¥18,747 | ¥     0 | ¥  56,240
CR01123   | 260327/高橋海斗/ターミナル/LP1-CR01123                      |    11 |      1 |   9.1% |     ¥36,523 | ¥ 7,305 | ¥  36,523
CR01062   | 260317/千葉信輝/2026年3月度勝ちCR/LP1-CR01062               |    22 |      2 |   9.1% |     ¥56,891 | ¥18,964 | ¥ 113,781
CR00213   | 260304 AI スマ AIまとめ(勝ち_0920休日強化用)  LP2-CR00213      |    23 |      2 |   8.7% |     ¥38,914 | ¥12,971 | ¥  77,827
CR01047   | 260312/AI/ClaudeCode解説/LP1-CR01047                 |    70 |      6 |   8.6% |     ¥38,909 | ¥ 3,288 | ¥ 233,455
CR01126   | 260327/千葉信輝/過去の当たりCR/LP1-CR01126                   |    12 |      1 |   8.3% |     ¥35,236 | ¥ 2,936 | ¥  35,236
CR00206   | 260226/AI/プロンプト_お絵描きムービー/LP2-CR00206               |    12 |      1 |   8.3% |     ¥60,047 | ¥10,008 | ¥  60,047
CR00002   | 260310/AI/Claudeはプロンプトが重要/LP3-CR00002              |    26 |      2 |   7.7% |     ¥36,390 | ¥ 9,098 | ¥  72,780
CR01004   | 260304/AI/AIまとめ/LP1-CR01004                        |    14 |      1 |   7.1% |     ¥28,525 | ¥ 3,566 | ¥  28,525
CR01105   | 260326/千葉信輝/過去の当たりCR/LP1-CR01105                   |    73 |      5 |   6.8% |     ¥43,758 | ¥ 3,419 | ¥ 218,791
CR00230   | 260320/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00230               |    44 |      3 |   6.8% |     ¥57,233 | ¥ 6,359 | ¥ 171,699
CR00952   | 260226/AI/Claudeはプロンプトが重要/LP1-CR00952              |    15 |      1 |   6.7% |     ¥56,313 | ¥ 5,631 | ¥  56,313
CR01132   | 260329/千葉信輝/過去の当たりCR/LP1-CR01132                   |   126 |      8 |   6.3% |     ¥49,812 | ¥ 4,025 | ¥ 398,499
CR01099   | 260324/鈴木織大/ClaudeCodeレベル/LP1-CR01099              |    33 |      2 |   6.1% |     ¥29,438 | ¥ 2,181 | ¥  58,875
CR01041   | 260311/AI/AIまとめ1/LP1-CR01041                       |    17 |      1 |   5.9% |     ¥42,561 | ¥ 3,274 | ¥  42,561
CR00003   | 260324/鈴木織大/箕輪さんまとめ/LP4-CR00003                    |    61 |      3 |   4.9% |     ¥45,992 | ¥ 3,942 | ¥ 137,977
CR00240   | 260326/千葉信輝/スマ AIまとめ(林社長関連)/LP2-CR00240            |    21 |      1 |   4.8% |     ¥52,126 | ¥ 3,723 | ¥  52,126
CR01131   | 260328/高橋海斗/【ねねさん】Claude_Code/LP1-CR01131          |    22 |      1 |   4.5% |     ¥33,977 | ¥ 1,699 | ¥  33,977
CR01059   | 260316/鈴木織大/ClaudeCodeレベル/LP1-CR01059              |    38 |      1 |   2.6% |     ¥83,285 | ¥ 2,687 | ¥  83,285
CR01011   | 260307/在中悠也/二極化/LP1-CR01011                        |    38 |      1 |   2.6% |     ¥84,730 | ¥ 3,684 | ¥  84,730
CR00001   | 260317/楢木野萌/お絵描きムービー（プロンプト）/LP6-CR00001            |    51 |      1 |   2.0% |    ¥132,391 | ¥ 2,878 | ¥ 132,391
CR01127   | 260328/鈴木織大/ClaudeCode解説/LP1-CR01127               |    24 |      0 |   0.0% |           - | ¥ 2,227 | ¥  46,766
CR01120   | 260327/高橋海斗/ターミナル/LP1-CR01120                      |    11 |      0 |   0.0% |           - | ¥ 3,074 | ¥  30,740
CR01049   | 260314/AI/2026年AIツール_全ツール紹介_CTAなし/LP1-CR01049      |    18 |      0 |   0.0% |           - | ¥ 2,957 | ¥  44,348
CR00988   | 260301/AI/尻込み_ちえみさん/LP1-CR00988                    |    12 |      0 |   0.0% |           - | ¥ 4,649 | ¥  41,841
CR01136   | 260329/千葉信輝/過去の当たりCR/LP1-CR01136                   |    15 |      0 |   0.0% |           - | ¥ 3,164 | ¥  31,637
CR00217   | 260305/AI/スマ AIまとめ(林社長関連)/LP2-CR00217              |    16 |      0 |   0.0% |           - | ¥ 7,399 | ¥  36,997
CR00216   | 260305/AI/スマ AIまとめ(ALL_tCPA)/LP2-CR00216           |    20 |      0 |   0.0% |           - | ¥17,805 | ¥  35,609
CR00211   | 260304 AI スマ AIまとめ(1011休日強化)  LP2-CR00211          |    14 |      0 |   0.0% |           - | ¥ 6,783 | ¥  33,916
CR00998   | 260304/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   |    15 |      0 |   0.0% |           - | ¥ 2,455 | ¥  39,282
CR00980   | 260228/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   |    24 |      0 |   0.0% |           - | ¥ 4,122 | ¥  78,313
CR01141   | 260329/千葉信輝/過去の当たりCR/LP1-CR01141                   |    19 |      0 |   0.0% |           - | ¥     0 | ¥  35,106

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ LP別 集計
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
LP    | CR数 |       消化 |    IMP   | クリック | CTR%   | オプト | OTO | 3day | フロ計 | 転換率 | フロCPO      | CPA
----------------------------------------------------------------------------------------------------
LP1   |  100 | ¥3,097,450 | 2,292,631 | 19,890 |  0.87% |   946 |  59 |    0 |     59 |   6.2% |      ¥52,499 |   ¥3,274
LP2   |   30 | ¥  915,818 | 1,175,454 |  8,049 |  0.68% |   287 |  20 |    1 |     21 |   7.3% |      ¥43,610 |   ¥3,191
LP6   |    2 | ¥  184,451 |  242,437 |    940 |  0.39% |    66 |   3 |    0 |      3 |   4.5% |      ¥61,484 |   ¥2,795
LP4   |    2 | ¥  147,740 |  171,764 |    733 |  0.43% |    63 |   3 |    0 |      3 |   4.8% |      ¥49,247 |   ¥2,345
LP3   |    1 | ¥   72,780 |  182,007 |    557 |  0.31% |    26 |   2 |    0 |      2 |   7.7% |      ¥36,390 |   ¥2,799

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ 制作者別 集計
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
制作者              | CR数 |       消化 | オプト | フロント | 転換率 | フロCPO      | CPA       | CTR%
----------------------------------------------------------------------------------------------------
AI                  |   67 | ¥1,846,696 |   554 |     41 |   7.4% |      ¥45,041 |    ¥3,333 |  0.48%
千葉信輝                |   16 | ¥  976,468 |   318 |     21 |   6.6% |      ¥46,498 |    ¥3,071 |  0.59%
鈴木織大                |   18 | ¥  533,579 |   227 |     12 |   5.3% |      ¥44,465 |    ¥2,351 |  0.51%
横展開                 |    2 | ¥  195,589 |     0 |      0 |      - |            - |         - |  0.57%
楢木野萌                |    4 | ¥  194,794 |    67 |      3 |   4.5% |      ¥64,931 |    ¥2,907 |  0.40%
清水絢吾                |    4 | ¥  191,995 |    48 |      3 |   6.3% |      ¥63,998 |    ¥4,000 |  2.03%
高橋海斗                |   10 | ¥  150,363 |    54 |      2 |   3.7% |      ¥75,182 |    ¥2,785 |  0.67%
unknown             |    5 | ¥  145,941 |    45 |      2 |   4.4% |      ¥72,971 |    ¥3,243 |  0.35%
在中悠也                |    5 | ¥  121,778 |    55 |      2 |   3.6% |      ¥60,889 |    ¥2,214 | 10.58%
石黒研太                |    3 | ¥   45,011 |    16 |      2 |  12.5% |      ¥22,506 |    ¥2,813 |  0.75%
伊藤開己                |    1 | ¥   16,025 |     4 |      0 |   0.0% |            - |    ¥4,006 |  0.66%

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ アカウント別 集計
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
AC     |  キャンプ数 |        消化 | オプト | フロント | 転換率 | フロCPO      | CPA
----------------------------------------------------------------------------------------------------
AI_1   |         93 | ¥ 2,217,405 |   842 |     53 |   6.3% |      ¥41,838 |   ¥2,633
AI_2   |         32 | ¥ 1,223,650 |   436 |     27 |   6.2% |      ¥45,320 |   ¥2,807
AI_3   |         29 | ¥   762,142 |   246 |     12 |   4.9% |      ¥63,512 |   ¥3,098
AI_4   |         13 | ¥   228,541 |   203 |     11 |   5.4% |      ¥20,776 |   ¥1,126
